partij_nummer,datum,partij_type,geladen_cactag6,geladen_bleche,gelost_cactag6,gelost_bleche
470,2025-05-07,klant,3,7,2,2
471,2025-03-22,klant,14,29,14,29
473,2025-03-29,klant,4,6,4,6
473,2025-04-18,klant,0,0,4,11
473,2025-08-01,klant,9,19,5,8
475,2025-04-03,klant,2,3,2,3
478,2025-04-03,klant,2,2,2,2
478,2025-04-16,klant,0,0,2,5
478,2025-05-22,klant,5,10,3,5
479,2025-03-20,klant,0,0,8,7
479,2025-04-03,klant,11,11,3,4
479,2025-06-19,klant,0,0,4,12
483,2025-03-18,klant,3,5,3,5
484,2025-03-18,klant,3,5,3,5
484,2025-03-26,klant,4,7,4,7
484,2025-05-15,klant,0,0,2,5
484,2025-06-05,klant,3,7,1,1
485,2025-05-22,klant,4,9,8,9
485,2025-05-29,klant,0,0,1,2
485,2025-06-19,klant,0,0,6,9
490,2025-04-16,klant,0,0,2,3
490,2025-05-06,klant,5,6,3,4
491,2025-07-08,klant,0,0,2,4
492,2025-04-16,klant,0,0,2,3
498,2025-03-06,klant,0,0,4,0
498,2025-05-02,klant,13,10,0,0
602,2025-03-20,klant,6,12,6,12
606,2025-03-15,klant,7,11,7,11
606,2025-03-25,klant,2,1,2,1
606,2025-04-11,klant,3,5,3,5
609,2025-03-20,klant,4,0,4,0
609,2025-04-01,klant,3,0,3,0
609,2025-04-23,klant,0,0,5,9
609,2025-05-05,klant,0,0,1,2
610,2025-04-01,klant,6,12,6,12
617,2025-03-15,klant,0,0,4,3
617,2025-03-25,klant,5,4,2,1
617,2025-04-08,klant,3,7,3,7
621,2025-03-10,klant,2,5,1,3
621,2025-03-14,klant,0,0,8,11
621,2025-04-02,klant,9,11,1,0
621,2025-04-25,klant,0,0,2,5
621,2025-07-09,klant,2,3,1,0
621,2025-09-10,klant,0,0,1,3
625,2025-03-03,klant,3,12,8,12
625,2025-05-02,klant,2,5,2,5
625,2025-07-17,klant,5,0,0,0
630,2025-03-28,klant,5,11,5,11
634,2025-03-28,klant,2,0,2,0
636,2025-04-08,klant,0,0,2,3
636,2025-05-01,klant,5,7,3,4
637,2025-03-10,klant,0,0,8,20
637,2025-04-02,klant,0,0,4,6
637,2025-04-17,klant,12,26,10,22
637,2025-04-25,klant,11,24,1,2
637,2025-09-10,klant,0,0,3,8
638,2025-03-19,klant,4,5,4,5
641,2025-03-18,klant,6,6,6,6
641,2025-03-28,klant,1,1,1,1
641,2025-05-30,klant,0,0,4,5
641,2025-08-01,klant,8,10,4,5
646,2025-03-28,klant,6,7,6,7
647,2025-03-27,klant,0,0,9,15
647,2025-03-28,klant,0,0,7,13
647,2025-04-17,klant,4,0,0,0
647,2025-05-15,klant,13,30,2,5
661,2025-03-21,klant,6,8,6,8
661,2025-05-31,klant,0,0,3,6
662,2025-03-26,klant,8,5,8,5
672,2025-03-25,klant,8,12,8,12
672,2025-04-11,klant,2,5,2,5
674,2025-03-27,klant,0,0,9,17
674,2025-03-29,klant,12,24,3,7
674,2025-04-16,klant,0,0,3,5
674,2025-05-07,klant,5,6,2,1
677,2025-02-11,klant,14,17,14,17
677,2025-04-01,klant,3,0,3,0
677,2025-04-16,klant,0,0,6,12
677,2025-07-31,klant,8,15,2,3
684,2025-10-01,klant,0,0,1,1
693,2025-03-18,klant,3,5,3,5
693,2025-04-01,klant,2,1,2,1
694,2025-03-18,klant,0,0,4,11
694,2025-04-11,klant,10,17,6,8
701,2025-03-06,klant,0,0,4,0
701,2025-04-01,klant,0,0,10,10
701,2025-05-02,klant,2,1,2,1
701,2025-05-02,klant,2,0,0,0
701,2025-05-07,klant,11,24,2,1
701,2025-07-23,klant,8,12,0,0
702,2025-03-06,klant,6,1,6,1
702,2025-03-12,klant,8,12,8,12
702,2025-03-28,klant,2,3,2,3
704,2025-03-12,klant,12,11,12,11
704,2025-03-25,klant,7,12,7,12
704,2025-05-07,klant,11,29,1,3
705,2025-03-22,klant,0,0,13,24
705,2025-03-25,klant,17,40,10,14
705,2025-04-01,klant,19,14,13,16
705,2025-10-23,klant,11,6,5,6
707,2025-03-06,klant,4,1,4,1
707,2025-04-01,klant,3,21,13,21
707,2025-05-02,klant,6,14,6,14
707,2025-05-27,klant,7,15,4,5
718,2025-03-28,klant,20,53,26,53
718,2025-09-18,klant,0,0,12,0
718,2025-10-23,klant,12,0,0,0
719,2025-03-06,klant,7,0,7,0
720,2025-03-07,klant,0,0,20,27
720,2025-03-15,klant,20,28,20,35
720,2025-03-25,klant,18,35,5,5
720,2025-04-09,klant,19,24,13,24
720,2025-04-10,klant,1,2,1,2
720,2025-07-15,klant,1,4,0,0
730,2025-03-18,klant,5,12,5,12
730,2025-03-19,klant,2,3,2,3
730,2025-04-10,klant,2,4,2,4
731,2025-04-10,klant,3,3,3,3
738,2025-03-18,klant,6,11,6,11
738,2025-03-19,klant,1,2,1,2
